group_id,分类,分类中文,日文母故事名,网站显示文本,子剧情数量,出现次数,source_sha256,children_sha256
memoria:f941b98e75bab0f9,メモリア,记忆结晶资料,No.402 転がり始めていた運命,No.402 开始转动的命运,1,1,f941b98e75bab0f98181dcba93b68e155f9fa30d712ad199e9855826b951aa38,b405d74016c23d4ba850eb28138a9a55d03aa505b0471fea613cfd920a6a2d7e
memoria:a44ccb6736ef7c55,メモリア,记忆结晶资料,No.403 見せられなかった絵,No.403 没被展示的画,1,1,a44ccb6736ef7c55d78c9a1813b821674c6c75425018ed1011911655a0af42fa,8cee85b1f4bb11d0680da0e52150eece2831204fc9f42a3e5ce4febe9bee7283
memoria:7884a17a9b871649,メモリア,记忆结晶资料,No.404 受け継がれたお守り,No.404 继承下来的护身符,1,1,7884a17a9b87164941c47a263782552ae0138dc964bdfac1c78475338adacc44,2a3b6ff654a9e065f04c6575705135612c36b8222c2330509d11a575d82771ff
memoria:fea3096bc1aa017a,メモリア,记忆结晶资料,No.405 彼女たちの日常風景,No.405 她们的日常情景,1,1,fea3096bc1aa017a1c354cc86aa485192bf461fc335f0a59eab154a2ac526d26,2671d7f5e923bf1644ad3179401a3ee4017e30271afe2e64cbdb389fbad8cc8f
memoria:20abcf4317cc0e4d,メモリア,记忆结晶资料,No.406 私じゃダメだったみたい,No.406 就凭我好像不行,1,1,20abcf4317cc0e4d856a051627ef3821cac0a3d9acff22d9ffc7b7eaf3080bce,f2f389e36394c01646502f3f866805f25cebf84f7f8cbf8df9eb2c95651f1726
memoria:66c1e9346723d744,メモリア,记忆结晶资料,No.407 もう一度、手を取って,"No.407 再度,携手",1,1,66c1e9346723d7441829f55f7d23e487a38204e1e9d23fa3ed9b133d2ca73538,346b89bcb3d57f61cfa9c402253d451de60770396ce7f03ea307c8d180b95aa2
memoria:878dbde473768fd4,メモリア,记忆结晶资料,No.408 友達になった日,No.408 成为朋友的那一天,1,1,878dbde473768fd4e9a1ced7fac505088a10193e233c6daab390c021b51a8717,1e5daedb319db289613c7c631ef02cb237ef4ee22b16e30e42c8ca0aa48c07df
memoria:80eec26f0e962fdd,メモリア,记忆结晶资料,No.409 公民館でお手伝い,No.409 在公民馆帮忙,1,1,80eec26f0e962fddd801e291041f1ba454039b684a4c1746c1c68ea4b1fbf086,67ed777e50ea90bea31f4be800fb7393ffc20b8042e4ba9a1b0e67bc629f639d
memoria:9424174b08219204,メモリア,记忆结晶资料,No.41 苦い紅茶にはお砂糖を,No.41 往苦涩的红茶加入砂糖,1,1,9424174b08219204e1db98e827134802da307cf4fb4d4d6f320115ed2b87a394,b3e8903b4c9a6107d885d047307c3020d883c9995b6e4cbda8d940bdb11a2d00
memoria:4e2b63c5890324ad,メモリア,记忆结晶资料,No.410 時女の底力,No.410 时女的潜力,1,1,4e2b63c5890324ad7f37d0245bbc4b8178894cc6dd99482509dae4ca470e5bb2,7ced8372343b3cbf0c32262cbd2c483f37a67690b33284db432bb8cc9566b0cc
memoria:0b359cdf8fe1655c,メモリア,记忆结晶资料,No.411 都会の水が合わなくて,No.411 不适应都市,1,1,0b359cdf8fe1655cb2d64920688155e3354c3a2994778168739ce6ba6e32eff1,3c77566e6e0e9676fb63eac5ac50db449231030b5cf325988f5729d76553716f
memoria:53d9fbaac2ad7a1f,メモリア,记忆结晶资料,No.412 きっかけは寄り道から,No.412 起因是绕远路,1,1,53d9fbaac2ad7a1f87e25ac72f76e563784e2f4e3787e26e95e6d1e36dd482e3,ed7dba1a92feae3f07ce902e3ba3ba33a8c3504c0988800eb4543dd6790aee54
memoria:0fcb14489dcc8820,メモリア,记忆结晶资料,No.413 夢への,No.413 夢への,1,1,0fcb14489dcc8820675737a64e2b974fcebfe598e072bba7bd12baf10d76eb79,e6f15aecb3fe7e7316fcd7cb52eb837792034677711a1cafe0c554e85af1304b
memoria:3168718744555b35,メモリア,记忆结晶资料,No.414 いつものきまぐれ,No.414 一如既往的心血来潮,1,1,3168718744555b354780b7de0b5549343565b933e7cd7907650051bed27614f0,aa90fb47e5dcf3cb113ead4225d66ce9ec8e714f68be4828e9e89f05b35c0785
memoria:0a2a39c37dc66b4e,メモリア,记忆结晶资料,No.415 書庫は友だち,No.415 书库是朋友,1,1,0a2a39c37dc66b4eacf50caa45e6b1df60561c585aa0b7cbbb5110399d653f58,199a2fa44742654c0daf37674da634011151e2a2a889f342293fca6eefa232f4
memoria:9283f0740fe646a6,メモリア,记忆结晶资料,No.416 原点は怪獣映画,No.416 原点是怪兽电影,1,1,9283f0740fe646a6d4e42cb21c38b23d5f78825e00b7974128a079949dc0c4b5,be4265af95db321f28cd40dfae37911a66891b0274a8de39784ecc6648f1ed99
memoria:52de18477b480c43,メモリア,记忆结晶资料,No.417 予鈴で目を覚ます,No.417 响预备铃时醒来,1,1,52de18477b480c439341741e87a3b8d07b29eb451460fc34f6da1039afd9eb3a,ef3046621dc00da54aed019e4208865f242cb8a5da76e1755cccf34b80b03b50
memoria:7f6880c105066ea8,メモリア,记忆结晶资料,No.418 蒼い夜空と架空の夜会,No.418 深蓝的夜空和架空的晚会,1,1,7f6880c105066ea84488c99051b087592ab7748e9ea326bc40bdb26d3b9b8896,b818d8eeffd877c92cd75c47511c4bf1417d15033b4e6640baeb9c6c40856286
memoria:592cb20fd1bdd419,メモリア,记忆结晶资料,No.419 エンドロールは前途多難,No.419 落幕命途多舛,1,1,592cb20fd1bdd4193c9e1491c6e18be631b0f6d79607df6aea1991f548dcb2f6,848c5b2b707ff8d56ee33fac27e2017916fbf0658cd2953b253aae4b85054e9e
memoria:7b012823cbdc29e0,メモリア,记忆结晶资料,No.42 無限の喜びをきみに,No.42 予你以无限的喜悦,1,1,7b012823cbdc29e005d03ee75e4031416e0047a288da4b3fb3a1b3cf97ee2dd1,7230f10212c20205b8516d5b147d8003a2a471320285f9f4065d7257e4feed60
memoria:b1a66943de8459c1,メモリア,记忆结晶资料,No.420 デジタル逃避行,No.420 数字隐居,1,1,b1a66943de8459c1613795af99a3e23999962f1508abf3d5a6e9287c523425a2,1c2f367532238bcf226211e68919f6fd3a4abe08519117584c446055ee8fdb97
memoria:09f83f127fec05f6,メモリア,记忆结晶资料,No.421 フードの中の繋がり,No.421 风帽中的联系,1,1,09f83f127fec05f63bfedfc7d0eac211128ec766c6cb67478d8de3ce5f4eaab8,e9b7f0a01c09a44d97998afecc3f90f4fda433ab96ba90e8973c7d2212e8b85b
memoria:d23b895f3d273cd2,メモリア,记忆结晶资料,No.422 弱き者は挫かれて,No.422 弱者受挫,1,1,d23b895f3d273cd24dadc8af2d1b120b9a657bf7245c5b7ad3e669a6f791832a,2c15d24d6bd0a66485062ea4b75b3979309ba7fa1c24e0813d23a2cc4f4fc0e4
memoria:591835eba421e0de,メモリア,记忆结晶资料,No.423 胸に灯りを,No.423 在心中点亮灯火,1,1,591835eba421e0de29b7d6adf10ad48994eed299bcc899005ab045e53bc0b987,68a329cb70d2414854239c744407d3f01ce9ebaf0c1e57d5197b9fd66ae883b9
memoria:0de4e4e72d70fddc,メモリア,记忆结晶资料,No.424 瞬間を待ちわびて,No.424 翘首以待那一瞬间,1,1,0de4e4e72d70fddcb40bbcccb1e20c53e869a96a5b5c1f119072cc35e9364c7a,d2433b43ed4bca1e75ad3be0730c823a404a034afeaede846210b1ee51cbff28
memoria:04bf65db9d7feda4,メモリア,记忆结晶资料,No.425 今夜のゲストは…,No.425 今夜のゲストは…,1,1,04bf65db9d7feda411d3b83e7428cab966a7064e2decd7421a5aa49d4f68e74a,fd4700c3a35346054f68576639cdfc7ac1912018f4b6e53176e28f7cf0c44ac4
